name,road_address,latitude,longitude,toilet_type,open_time_type
종로1234가동 주민센터,서울특별시 종로구 삼일대로30길 47,37.57449,126.99024,개방화장실,정시
안풍주유소,서울특별시 종로구 자하문로 303,37.59921,126.95915,공중화장실,정시
종합시장D동상가 본관지상3층,서울특별시 종로구 종로 266,37.57061,127.00735,개방화장실,정시
동부여성문화센터,서울특별시 종로구 창신길 124,37.57697,127.0099,개방화장실,정시
영풍빌딩,서울특별시 종로구 청계천로 41,37.56958,126.98214,개방화장실,정시
경희궁의아침 2단지,서울특별시 종로구 사직로8길 24,37.57397,126.97129,개방화장실,정시
변호사회관,서울특별시 종로구 새문안로5길 13,37.57166,126.97534,개방화장실,정시
맥도날드(종로3가),서울특별시 종로구 종로 115,37.57008,126.99046,개방화장실,정시
한국공예문화진흥원,서울특별시 종로구 인사동11길 8,37.57402,126.98412,개방화장실,정시
무악동주민센터,서울특별시 종로구 통일로14길 36,37.57593,126.95814,개방화장실,정시
이화동주민센터,서울특별시 종로구 이화장길 33,37.57698,127.00435,개방화장실,정시
와룡공원 주변 공중화장실,서울특별시 종로구 명륜3가 산2-13,37.59118,126.99196,공중화장실,상시
탑골공원,서울특별시 종로구 종로2가 38-1,37.5712,126.98836,공중화장실,정시
경복궁역(3),서울특별시 종로구 적선동 81-1 3호선 경복궁역,37.571196,126.991959,공중화장실,정시
광장시장 3층 동관부,서울특별시 종로구 창경궁로 88,37.57009,126.99608,개방화장실,정시
북촌문화센터,서울특별시 종로구 계동길 37,37.57909,126.98642,개방화장실,정시
인왕산수목원약수터 공중화장실,서울특별시 종로구 옥인동 179-1,37.58301,126.96376,공중화장실,상시
경동빌딩(스타이발관),서울특별시 종로구 종로17길 45,37.57224,126.98814,개방화장실,정시
돈의문박물관마을안내소,서울특별시 종로구 송월길 14-3,37.56881,126.96854,개방화장실,정시
동익상가(상명대후문쪽),서울특별시 종로구 홍지문길 64,37.60439,126.95799,개방화장실,상시
서울글로벌센터,서울특별시 종로구 종로 38 서울글로벌센터,37.56986,126.98147,개방화장실,정시
CGV 대학로점 2F,서울특별시 종로구 대명길 28,37.58347,126.99985,개방화장실,상시
세운스퀘어(테크노관1층),서울특별시 종로구 창경궁로 109,37.57229,126.99707,개방화장실,정시
창신2동 주민센터,서울특별시 종로구 창신길 62,37.57446,127.01086,개방화장실,정시
동림매듭박물관,서울특별시 종로구 북촌로12길 10,37.58241,126.98586,개방화장실,정시
동대문종합시장 D동상가 2층,서울특별시 종로구 종로 266,37.57061,127.00735,개방화장실,정시
종합시장D동상가 본관지하1층,서울특별시 종로구 종로 266,37.57061,127.00735,개방화장실,정시
혜화역(4),서울특별시 종로구 명륜4가 96-5 4호선 혜화역,37.58204392,127.0194501,공중화장실,정시
세종로공영주차장,서울특별시 종로구 세종대로 789,37.57338,126.97592,개방화장실,정시
참샘골공원 공중화장실,서울특별시 종로구 평창길 273,37.61164,126.96861,공중화장실,상시
종로5-6가동주민센터,서울특별시 종로구 종로35가길 19,37.57206,127.00503,개방화장실,정시
마로니에공원(지하1층),서울특별시 종로구 동숭동 1-124,37.58049,127.00272,공중화장실,정시
창2공중화장실(창신1지역),서울특별시 종로구 창신4가길 34-15,37.57498,127.00984,공중화장실,상시
무궁화동산,서울특별시 종로구 궁정동 55-3,37.58425,126.97235,공중화장실,상시
"쌈지길(지상1,2층)",서울특별시 종로구 인사동길 44,37.57433,126.98521,개방화장실,정시
4.19도서관,서울특별시 종로구 새문안로 17,37.5675,126.9677,개방화장실,정시
베드로빌딩,서울특별시 종로구 이화장길 36-2,37.57674,127.0046,개방화장실,정시
라이온스 빌딩,서울특별시 종로구 삼일대로 451,37.57473,126.98656,개방화장실,정시
지봉골어린이공원,서울특별시 종로구 창신동 산6-25,37.57888,127.01463,공중화장실,상시
종로구청화장실,서울특별시 종로구 삼봉로 43,37.57292,126.97927,개방화장실,정시
창신동공중화장실,서울특별시 종로구 지봉로13길 46,37.57843,127.01254,공중화장실,상시
광화문역(5),서울특별시 종로구 세종로 1-90 광화문역,37.568666,126.969794,공중화장실,정시
서울생활문화센터 체부,서울특별시 종로구 자하문로1나길 3-2,37.57672,126.97154,개방화장실,정시
종오,서울특별시 종로구 종로 지하 200,37.57264,127.00128,개방화장실,정시
종로3가역(1),서울특별시 종로3가 10-5 1호선 종로3가역(1호선),37.57042,126.992153,공중화장실,정시
숭인빌딩,서울특별시 종로구 청계천로 383,37.57198,127.02006,개방화장실,상시
KFC대학로점,서울특별시 종로구 대학로120,37.58188,127.0023,개방화장실,상시
한일빌딩,서울특별시 종로구 청계천로 229,37.57012,127.00305,개방화장실,정시
동묘앞역(6),서울특별시 종로구 창신동 263-2 동묘앞역(6호선),37.572729,127.013819,공중화장실,정시
SK북악주유소,서울특별시 종로구 평창문화로 137,37.60987,126.9749,개방화장실,상시
안국역(3),서울특별시 종로구 안국동 155-2 3호선 안국역,37.566412,126.994185,공중화장실,정시
동대문역(4),서울특별시 종로구 종로6가 287-1 동대문역(4호선),37.561159,126.994398,공중화장실,정시
보건소,서울특별시 종로구 자하문로19길 36,37.58177,126.96926,개방화장실,정시
"광장시장(합동,화창빌딩)",서울특별시 종로구 종로 194-7,37.57042,126.99938,개방화장실,정시
낙산공원 정상,서울특별시 종로구 낙산성곽서길 173,37.58019,127.008,개방화장실,정시
인왕산 청운지구(2)(청운공원 화장실),서울특별시 종로구 청운동 7-3,37.59103,126.96627,공중화장실,상시
